         16423056 function calls (16281310 primitive calls) in 10.378 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.001    0.000    0.005    0.001 __init__.py:805(sequence)
       74    0.001    0.000    0.002    0.000 _docscrape.py:290(_parse_see_also)
       94    0.001    0.000    0.003    0.000 _docscrape.py:548(__str__)
     3236    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      155    0.001    0.000    0.002    0.000 _compiler.py:514(_compile_info)
     1514    0.001    0.000    0.001    0.000 copy.py:232(_keep_alive)
   570/54    0.001    0.000    0.402    0.007 {built-in method builtins.__import__}
     7067    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      775    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     1088    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     4712    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      350    0.001    0.000    0.012    0.000 function_base.py:490(add_newdoc)
      111    0.001    0.000    0.001    0.000 typing.py:1828(__hash__)
       94    0.001    0.000    0.004    0.000 _docscrape.py:599(__str__)
   105/33    0.001    0.000    0.004    0.000 typing.py:1527(_make_substitution)
      550    0.001    0.000    0.002    0.000 _inspect.py:97(getargspec)
     1103    0.001    0.000    0.001    0.000 enum.py:696(__call__)
      770    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
       94    0.001    0.000    0.056    0.001 _array_api.py:840(decorator)
     2322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     4297    0.001    0.000    0.001    0.000 <frozen codecs>:334(getstate)
  471/341    0.001    0.000    0.022    0.000 typing.py:426(inner)
     2322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1615    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1195    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      200    0.001    0.000    0.001    0.000 inspect.py:177(get_annotations)
     1316    0.001    0.000    0.001    0.000 copy.py:192(_deepcopy_list)
       13    0.001    0.000    0.003    0.000 enum.py:899(_convert_)
     2799    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      482    0.001    0.000    0.001    0.000 _docscrape.py:188(_strip)
        5    0.000    0.000    0.002    0.000 Scanner.py:1581(_feed_header_lines)
     1939    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      860    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
     1393    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:632(cached)
     1211    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
      441    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
     1955    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      259    0.000    0.000    0.000    0.000 typing.py:3809(__getattr__)
      670    0.000    0.000    0.001    0.000 typing.py:1373(__getattr__)
      564    0.000    0.000    0.001    0.000 enum.py:830(__setattr__)
     3230    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.217    0.217 _support_alternative_backends.py:1(<module>)
       92    0.000    0.000    0.001    0.000 _array_api.py:690(_make_sphinx_capabilities)
      127    0.000    0.000    0.007    0.000 typing.py:753(Union)
      405    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      145    0.000    0.000    0.001    0.000 enum.py:1608(__and__)
      771    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      350    0.000    0.000    0.011    0.000 function_base.py:474(_add_docstring)
     3029    0.000    0.000    0.000    0.000 _docscrape.py:153(__getitem__)
      783    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      443    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      714    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      645    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      988    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      208    0.000    0.000    0.001    0.000 _parser.py:273(getuntil)
     2537    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       99    0.000    0.000    0.001    0.000 typing.py:395(_flatten_literal_params)
      546    0.000    0.000    0.001    0.000 _docscrape.py:86(is_unindented)
      470    0.000    0.000    0.001    0.000 _array_api.py:684(__str__)
      580    0.000    0.000    0.003    0.000 __init__.py:183(sub)
      771    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
     1636    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      344    0.000    0.000    0.002    0.000 typing.py:1322(__init__)
        1    0.000    0.000    0.003    0.003 frame.py:515(DataFrame)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
     1714    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
      751    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      644    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
      847    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       94    0.000    0.000    0.000    0.000 _docscrape.py:499(_str_see_also)
       18    0.000    0.000    0.001    0.000 typing.py:3157(__new__)
     2148    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       81    0.000    0.000    0.001    0.000 CodonTable.py:149(make_back_table)
        1    0.000    0.000    0.001    0.001 printing.py:1(<module>)
       94    0.000    0.000    0.005    0.000 inspect.py:876(getdoc)
