tests/CP116442.gbk
         4649657 function calls (4572845 primitive calls) in 1.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  300/170    0.000    0.000    0.015    0.000 typing.py:426(inner)
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      841    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      298    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      365    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
      189    0.000    0.000    0.001    0.000 _parser.py:273(getuntil)
      508    0.000    0.000    0.003    0.000 __init__.py:183(sub)
     2482    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      470    0.000    0.000    0.000    0.000 _array_api.py:684(__str__)
     1484    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      626    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
       92    0.000    0.000    0.000    0.000 _array_api.py:690(_make_sphinx_capabilities)
        3    0.000    0.000    0.001    0.000 Scanner.py:1581(_feed_header_lines)
      577    0.000    0.000    0.001    0.000 typing.py:1373(__getattr__)
     1305    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      167    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
     2447    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      777    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
     1305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      702    0.000    0.000    0.001    0.000 enum.py:696(__call__)
      126    0.000    0.000    0.001    0.000 enum.py:1608(__and__)
       94    0.000    0.000    0.000    0.000 _docscrape.py:499(_str_see_also)
       81    0.000    0.000    0.001    0.000 CodonTable.py:149(make_back_table)
       94    0.000    0.000    0.005    0.000 inspect.py:876(getdoc)
      546    0.000    0.000    0.001    0.000 _docscrape.py:86(is_unindented)
       14    0.000    0.000    0.001    0.000 typing.py:1210(_generic_class_getitem)
      433    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
     3029    0.000    0.000    0.000    0.000 _docscrape.py:153(__getitem__)
      784    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
     1523    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
       54    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
      316    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      366    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      547    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       83    0.000    0.000    0.005    0.000 typing.py:753(Union)
     1068    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      739    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       12    0.000    0.000    0.001    0.000 typing.py:3157(__new__)
       94    0.000    0.000    0.003    0.000 _array_api.py:744(_make_capabilities_note)
      402    0.000    0.000    0.000    0.000 enum.py:1590(_get_value)
      476    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       55    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
        1    0.000    0.000    0.002    0.002 QualityIO.py:1(<module>)
     1478    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      434    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
   105/33    0.000    0.000    0.006    0.000 typing.py:1467(__getitem__)
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
      437    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       94    0.000    0.000    0.039    0.000 _docscrape.py:140(__init__)
